"","pid","wt","POP","HH","AGE5U","AGE18U","AGE65O","NFAM","NFAMALONE","POV","RACWHITE","RACBLACK","RACASIAN","RACHSPLAT","POV.FAM","POV.NFAM","POV.NFAMALONE"
"397","133796",14,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"398","134900a",17,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"399","134900b",19,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"400","134900c",18,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"401","134900d",32,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0
"402","135610a",51,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"403","135610b",42,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"404","135640",22,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
"405","136203",12,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"406","136433",24,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"407","137037",22,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"408","137096a",12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"409","137096b",11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"410","137096c",14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"411","137096d",14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"412","138068a",19,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"413","138068b",16,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0
"414","138680a",14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"415","138680b",15,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"416","138680c",16,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"417","139203a",12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"418","139203b",13,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"419","139203c",9,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"420","139667",15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"421","141138a",6,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"422","141138b",9,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"423","141138c",13,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"424","141615",17,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
"425","142514a",28,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"426","142514b",29,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"427","142514c",34,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"428","142528",5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"429","142619a",10,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"430","142619b",13,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"431","142619c",14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"432","142740a",11,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"433","142740b",14,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"434","143097a",26,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"435","143097b",24,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"436","143097c",29,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
"437","143381a",15,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"438","143381b",14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"439","145500a",23,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"440","145500b",26,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"441","146055a",62,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"442","146055b",66,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"443","146171a",22,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"444","146171b",23,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"445","146219a",37,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"446","146219b",34,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"447","146219c",34,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"448","146219d",40,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"449","146275",12,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
"450","146731",17,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
"451","147308",6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"452","148772a",13,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"453","148772b",14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"454","148895a",22,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"455","148895b",21,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"456","148895c",19,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"457","148895d",27,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0
"458","148895e",26,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"459","149185a",30,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"460","149185b",31,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"461","149185c",24,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"462","149185d",24,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"463","151053a",29,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"464","151053b",41,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"465","151724",8,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0
"466","152549a",21,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"467","152549b",21,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"468","153618",15,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0
"469","154033a",17,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"470","154033b",22,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"471","154077",18,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"472","154379",5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"473","154598",14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"474","155496",14,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0
"475","155516a",7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"476","155516b",7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"477","155516c",8,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"478","155845a",13,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"479","155845b",21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"480","156094",14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"481","157400",16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"482","158296",23,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0
"483","159670",2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"484","160505a",20,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0
"485","160505b",13,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"486","160505c",12,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"487","161978a",16,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"488","161978b",14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"489","161978c",12,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
"490","162285a",19,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"491","162285b",25,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"492","162649",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"493","162804",17,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"494","164206a",13,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"495","164206b",14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"496","164339a",23,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"497","164339b",21,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"498","164437a",16,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
"499","164437b",14,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"500","165097",27,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1
"501","165432",76,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0
"502","165665a",23,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"503","165665b",24,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"504","166540",14,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
"505","167090",18,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"506","167103",20,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"507","167408",20,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"508","167532",17,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"509","168088",15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"510","169431",17,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"511","169434a",12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"512","169434b",11,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"513","169434c",11,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"514","170093",36,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
"515","170594a",26,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"516","170594b",25,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"517","170594c",20,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"518","171459a",13,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"519","171459b",13,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"520","171459c",13,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"521","171459d",13,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"522","171480",14,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"523","171729",17,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"524","171921",11,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
"525","171971",24,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
"526","172378a",11,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
