"","GEOID","POP","POPs","HH","HHs","AGE5U","AGE5Us","AGE18U","AGE18Us","AGE65O","AGE65Os","NFAM","NFAMs","NFAMALONE","NFAMALONEs","POV","POVs","RACWHITE","RACWHITEs","RACBLACK","RACBLACKs","RACASIAN","RACASIANs","RACHSPLAT","RACHSPLATs","POV.FAM","POV.FAMs","POV.NFAM","POV.NFAMs","POV.NFAMALONE","POV.NFAMALONEs"
"13","08013012505",4064,137.386018237082,4064,137.386018237082,225,50.0477871434718,770,85.1454534720875,658,76.9543398247548,1197,153.191489361702,279,52.2796352583587,398,119.756838905775,3543,150.759878419453,0,6.68693009118541,268,79.0273556231003,118,54.1033434650456,49,46.8085106382979,349,105.775075987842,78,31.6109422492401
"14","08013012507",4557,230.395136778115,4552,231.003039513678,164,35.7424063126787,421,59.3818609677846,310,53.8534579704562,2736,252.279635258359,128,37.6899696048632,1396,217.629179331307,3664,254.711246200608,59,43.161094224924,284,80.8510638297872,286,79.6352583586626,93,57.1428571428571,1303,206.079027355623,97,27.9635258358663
"15","08013012508",3227,147.112462006079,3227,147.112462006079,142,39.3073876238959,443,65.8052956328342,205,35.0533817467197,1476,172.644376899696,213,46.2006079027356,528,118.54103343465,2901,148.936170212766,13,13.3738601823708,58,26.1398176291793,160,77.2036474164134,20,20.6686930091185,508,116.717325227964,51,34.0425531914894
"16","08013012509",3532,144.68085106383,3488,145.896656534954,169,46.4956186649798,738,82.4554573643514,624,75.9805467622764,862,192.09726443769,83,35.258358662614,318,124.012158054711,2995,173.860182370821,65,42.5531914893617,131,52.887537993921,199,72.9483282674772,107,47.4164133738602,211,125.835866261398,0,6.68693009118541
"18","08013012511",6207,337.993920972644,3942,259.574468085106,236,116.919783880086,653,147.909119277768,1028,120.10810502414,1449,218.844984802432,266,54.1033434650456,734,182.978723404255,4650,263.829787234043,57,32.2188449848024,551,149.544072948328,761,162.917933130699,107,60.790273556231,627,175.075987841945,82,31.6109422492401
"19","08013012603",3405,181.155015197568,3405,181.155015197568,222,41.3463247978892,647,73.6942612070115,585,76.4291138731618,858,118.54103343465,73,24.3161094224924,367,117.933130699088,2999,212.158054711246,0,6.68693009118541,96,40.7294832826748,253,97.2644376899696,213,106.382978723404,154,54.7112462006079,38,18.2370820668693
"20","08013012605",1739,108.206686930091,1728,106.382978723404,51,15.9567230983668,108,25.6113974868582,43,21.3286380460168,1073,133.130699088146,94,27.9635258358663,683,102.73556231003,1289,103.343465045593,0,6.68693009118541,238,61.3981762917933,100,31.0030395136778,58,32.2188449848024,625,104.559270516717,42,15.8054711246201
"21","08013012607",5122,285.714285714286,5096,285.714285714286,49,24.4676131276573,140,48.3311348578747,444,93.1679118079414,4433,294.83282674772,792,122.188449848024,2686,295.440729483283,3734,307.598784194529,155,62.6139817629179,273,97.2644376899696,522,127.659574468085,231,97.2644376899696,2455,294.224924012158,600,120.9726443769
"22","08013012608",2558,121.580547112462,2441,109.422492401216,88,24.535484584329,345,51.5643439775033,283,46.1686019356779,1211,106.990881458967,124,27.9635258358663,365,75.9878419452887,2201,119.148936170213,1,1.21580547112462,85,26.7477203647416,195,46.2006079027356,57,20.6686930091185,308,72.9483282674772,20,9.11854103343465
"23","08013012701",5755,210.942249240122,5681,202.431610942249,315,70.7599828700176,1164,133.513211566526,728,95.0663479748309,962,144.68085106383,117,36.4741641337386,153,53.4954407294833,5469,212.765957446808,19,17.629179331307,113,48.6322188449848,62,29.7872340425532,81,44.9848024316109,72,27.9635258358663,50,24.9240121580547
"24","08013012705",3949,167.781155015198,3949,167.781155015198,112,38.6819167657946,550,84.0490112228784,333,49.9184023903171,1606,157.446808510638,432,65.0455927051672,299,83.2826747720365,3216,182.370820668693,51,22.4924012158055,138,51.6717325227964,408,137.993920972644,142,57.1428571428571,157,62.0060790273556,62,31.0030395136778
"25","08013012707",2489,200,1805,96.048632218845,84,22.6152890428429,515,62.1667861971768,280,36.5450173013718,221,39.5136778115502,90,23.7082066869301,249,84.4984802431611,1913,206.686930091185,20,17.629179331307,61,29.7872340425532,404,103.343465045593,220,84.4984802431611,29,13.3738601823708,21,11.5501519756839
"26","08013012708",5358,211.550151975684,5358,211.550151975684,202,61.3710855398126,987,131.419517246168,915,109.365064295109,1106,178.723404255319,186,48.0243161094225,336,151.975683890577,5007,238.297872340426,25,20.0607902735562,55,29.7872340425532,250,94.8328267477204,203,119.148936170213,133,92.4012158054711,32,21.8844984802432
"28","08013012710",3358,123.404255319149,3358,123.404255319149,47,19.94069236092,628,82.1703726455256,726,81.3749964157682,631,74.1641337386018,161,41.3373860182371,316,76.5957446808511,2807,147.112462006079,66,54.7112462006079,56,23.7082066869301,337,110.63829787234,143,71.7325227963526,173,44.3768996960486,105,37.0820668693009
"34","08013013003",5962,186.018237082067,5962,186.018237082067,271,60.6837973291451,1484,157.300045432916,839,109.848882172182,990,140.425531914894,253,69.9088145896657,275,86.9300911854103,5539,206.079027355623,0,9.72644376899696,189,70.516717325228,174,70.516717325228,134,75.3799392097264,141,48.6322188449848,52,27.355623100304
