"","GEOID","POP","POPs","HH","HHs","AGE5U","AGE5Us","AGE18U","AGE18Us","AGE65O","AGE65Os","NFAM","NFAMs","NFAMALONE","NFAMALONEs","POV","POVs","RACWHITE","RACWHITEs","RACBLACK","RACBLACKs","RACASIAN","RACASIANs","RACHSPLAT","RACHSPLATs","POV.FAM","POV.FAMs","POV.NFAM","POV.NFAMs","POV.NFAMALONE","POV.NFAMALONEs"
"53","080130121032",955,127.051671732523,955,127.051671732523,0,9.45674722559516,232,53.9357398487996,119,31.0863651684999,181,48.6322188449848,52,20.0607902735562,22,14.5896656534954,867,127.051671732523,0,6.68693009118541,7,7.29483282674772,43,21.2765957446809,0,6.68693009118541,22,14.5896656534954,12,10.9422492401216
"54","080130121033",1902,173.252279635258,1880,174.468085106383,70,27.1454268228159,264,66.2864903272169,251,47.6884101093135,669,104.559270516717,94,24.9240121580547,281,127.051671732523,1420,117.933130699088,52,20.0607902735562,39,21.8844984802432,299,144.68085106383,199,129.483282674772,82,22.4924012158055,63,20.0607902735562
"55","080130121041",1117,105.16717325228,1107,105.16717325228,45,40.6750078013863,296,64.0234433832539,207,48.3999010318858,289,68.693009118541,72,28.5714285714286,140,47.4164133738602,983,94.2249240121581,0,6.68693009118541,19,14.5896656534954,81,39.5136778115502,66,37.6899696048632,74,31.0030395136778,15,9.72644376899696
"56","080130121042",1307,133.130699088146,1307,133.130699088146,42,27.1658394790326,290,59.5837719923057,291,48.2967150542035,218,75.3799392097264,7,7.29483282674772,110,49.8480243161094,1124,131.914893617021,0,6.68693009118541,8,7.29483282674772,149,69.3009118541033,71,47.4164133738602,39,19.4528875379939,14,9.11854103343465
"57","080130121051",1346,202.431610942249,1346,202.431610942249,15,15.4985395549933,314,92.1689610279099,87,54.950506895503,496,85.7142857142857,147,56.5349544072948,243,188.449848024316,1021,139.209726443769,0,6.68693009118541,0,6.68693009118541,325,172.036474164134,219,187.841945288754,24,23.1003039513678,24,23.1003039513678
"58","080130121052",1758,299.696048632219,1758,299.696048632219,88,48.6664013607913,577,155.54234226786,164,60.9238653683528,557,91.7933130699088,165,48.0243161094225,133,59.5744680851064,878,118.54103343465,0,6.68693009118541,225,62.6139817629179,640,284.498480243161,35,35.258358662614,98,48.0243161094225,32,21.8844984802432
"59","080130121053",1410,175.683890577508,1400,176.29179331307,188,56.1808697899673,335,71.0700437479659,236,74.2811374629166,343,131.914893617021,15,13.9817629179331,90,54.1033434650456,1301,157.446808510638,17,17.0212765957447,0,6.68693009118541,92,74.7720364741641,20,20.0607902735562,70,49.8480243161094,0,6.68693009118541
"60","080130121054",1090,189.665653495441,1090,189.665653495441,71,50.29453809574,126,61.8748238297847,150,47.3579251150452,279,100.303951367781,27,19.4528875379939,121,46.2006079027356,892,116.717325227964,0,6.68693009118541,18,17.629179331307,165,133.130699088146,52,32.2188449848024,69,32.2188449848024,17,17.0212765957447
"61","080130122011",718,139.209726443769,718,139.209726443769,0,9.45674722559516,0,18.9134944511903,134,30.5830060257879,479,133.738601823708,58,15.1975683890577,157,51.063829787234,701,137.993920972644,0,6.68693009118541,0,6.68693009118541,0,6.68693009118541,0,6.68693009118541,157,51.063829787234,64,20.6686930091185
"62","080130122012",1695,212.765957446808,1695,212.765957446808,27,19.996211797445,116,41.4445241314512,65,27.7379563441941,1299,216.413373860182,83,27.355623100304,771,194.528875379939,1591,205.471124620061,0,6.68693009118541,12,11.5501519756839,34,25.531914893617,8,7.90273556231003,763,195.136778115502,32,19.4528875379939
"63","080130122013",1347,117.933130699088,1347,117.933130699088,63,23.7393607170415,186,45.6858218311391,340,52.9259546739913,238,55.3191489361702,55,29.7872340425532,204,71.7325227963526,1291,113.06990881459,6,6.0790273556231,0,6.68693009118541,50,24.3161094224924,129,64.4376899696049,75,35.8662613981763,40,23.7082066869301
"64","080130122021",953,193.313069908815,945,193.313069908815,48,25.2188067023605,201,51.9214420391104,105,38.317165980108,485,116.109422492401,80,27.355623100304,56,28.5714285714286,582,118.54103343465,0,6.68693009118541,48,24.3161094224924,307,144.072948328267,0,6.68693009118541,56,28.5714285714286,48,26.7477203647416
"65","080130122022",1779,246.200607902736,1767,247.41641337386,0,9.45674722559516,22,29.5818238555537,37,30.5527826702226,1420,215.80547112462,266,62.0060790273556,514,135.562310030395,1376,182.978723404255,0,6.68693009118541,89,52.2796352583587,257,144.072948328267,43,45.5927051671732,471,126.44376899696,101,34.0425531914894
"66","080130122023",2207,342.249240121581,2123,340.425531914894,19,21.1459296424633,36,33.5174437740796,44,31.4350965929432,1829,336.170212765957,122,47.4164133738602,1357,316.717325227963,1838,302.127659574468,42,27.9635258358663,161,96.6565349544073,141,68.0851063829787,37,46.2006079027356,1320,315.501519756839,97,38.2978723404255
